  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  8May23 ??       571:27.62 /sbin/launchd
    0    78     1   0  8May23 ??       221:26.75 /usr/libexec/logd
    0    80     1   0  8May23 ??        19:07.30 /usr/libexec/UserEventAgent (System)
    0    82     1   0  8May23 ??         3:21.65 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0    83     1   0  8May23 ??       235:48.42 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0    84     1   0  8May23 ??        21:42.53 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0    86     1   0  8May23 ??        11:20.65 /usr/sbin/systemstats --daemon
    0    88     1   0  8May23 ??        61:17.38 /usr/libexec/configd
    0    90     1   0  8May23 ??        71:25.66 /System/Library/CoreServices/powerd.bundle/powerd
    0    95     1   0  8May23 ??         0:15.50 /usr/libexec/remoted
    0   100     1   0  8May23 ??         2:29.64 /usr/libexec/watchdogd
    0   104     1   0  8May23 ??       412:14.66 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    0   106     1   0  8May23 ??         0:32.09 /usr/libexec/kernelmanagerd
    0   107     1   0  8May23 ??         6:42.89 /usr/libexec/diskarbitrationd
    0   111     1   0  8May23 ??        11:50.12 /usr/sbin/syslogd
    0   114     1   0  8May23 ??        36:23.85 /usr/libexec/thermalmonitord
    0   115     1   0  8May23 ??       130:58.54 /usr/libexec/opendirectoryd
    0   116     1   0  8May23 ??        22:04.85 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   117     1   0  8May23 ??       151:52.40 /System/Library/CoreServices/launchservicesd
  266   118     1   0  8May23 ??         5:50.16 /usr/libexec/timed
  213   119     1   0  8May23 ??         0:42.05 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   120     1   0  8May23 ??         8:38.24 /usr/sbin/securityd -i
    0   125     1   0  8May23 ??         0:01.21 autofsd
    0   126     1   0  8May23 ??        96:16.48 /usr/libexec/dasd
  241   129     1   0  8May23 ??        20:42.29 /usr/sbin/distnoted daemon
    0   133     1   0  8May23 ??         0:26.15 /System/Library/CoreServices/logind
    0   134     1   0  8May23 ??         0:20.11 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   135     1   0  8May23 ??         0:00.84 /usr/sbin/KernelEventAgent
    0   139     1   0  8May23 ??        52:09.87 /usr/sbin/notifyd
    0   141     1   0  8May23 ??       118:21.63 /usr/libexec/corebrightnessd --launchd
    0   142     1   0  8May23 ??        12:44.85 /usr/libexec/AirPlayXPCHelper
   88   145     1   0  8May23 ??       8343:04.57 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
    0   146     1   0  8May23 ??        44:48.00 /usr/sbin/cfprefsd daemon
    0   148     1   0  8May23 ??        34:54.75 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   150     1   0  8May23 ??         9:12.74 /usr/libexec/lsd runAsRoot
    0   152     1   0  8May23 ??         3:13.19 /System/Library/CoreServices/coreservicesd
  501   153     1   0  8May23 ??        51:38.44 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
    0   155     1   0  8May23 ??       136:49.61 /usr/libexec/runningboardd
   65   156     1   0  8May23 ??        91:11.20 /usr/sbin/mDNSResponder
    0   157     1   0  8May23 ??         1:10.82 /usr/libexec/apfsd
    0   158     1   0  8May23 ??       754:38.60 /usr/libexec/airportd
  242   159     1   0  8May23 ??        23:40.79 /usr/libexec/nsurlsessiond --privileged
  202   163     1   0  8May23 ??       5784:16.08 /usr/sbin/coreaudiod
    0   165     1   0  8May23 ??        34:24.43 /usr/libexec/syspolicyd
    0   168     1   0  8May23 ??         9:51.18 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  263   170     1   0  8May23 ??        22:11.55 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  202   171     1   0  8May23 ??         1:51.97 /usr/sbin/distnoted agent
   24   196     1   0  8May23 ??        51:35.39 /usr/libexec/symptomsd
   88   222     1   0  8May23 ??         1:56.18 /usr/sbin/distnoted agent
    0   225     1   0  8May23 ??         1:50.87 /usr/sbin/distnoted agent
    0   250     1   0  8May23 ??        72:35.54 /usr/libexec/audioclocksyncd
    0   252     1   0  8May23 ??         7:21.21 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  262   254     1   0  8May23 ??         1:42.75 /usr/sbin/distnoted agent
    0   256     1   0  8May23 ??         3:06.53 /usr/sbin/mDNSResponderHelper
  270   259     1   0  8May23 ??         0:19.21 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x1000008a2 com.apple.DriverKit-IOUserDockChannelSerial
